codigo;descricao;funcionalidade;video;fotos
39;YALE STAM 39 CADEADO 35 MM - C;cadeado stam 35 mm;;2025/06/STAM 39.png
72;YALE ALIANCA CURTA D-72 - A ;encaixa somente na fechadura alianCa caixa 40 ;;2025/06/ALIANCAD72.png
87;YALE PACRI D-87 CADEADO GDE L.Y. - C;CADEADO PACRI;;2025/06/PACRI D87.jpg
101;YALE SOPRANO FECHADURA 4 PINOS SEGREDO - C;cilindro soprano 4  pinos;;2025/06/SOPRANO 101.png
150;YALE PAPAIZ D-150 FECHADURA C-300 - B;cilindro papaiz/ fechadura papaiz antiga;;2025/06/PAPAIZ D150.png
183;CHAVE TETRA PAPAIZ D-183 TRAVA SEG/CAD - A;Chave Papaiz universal, compatível com diversos tipos de cilindros, fechaduras e trava de seguranCa.;;2025/06/PAPAIZ D183.png
200;YALE STAM 200 CIL PALHETA - B;CILINDRO STAM MODELO ANTIGOS DE PALHETA;;2025/06/STAM 200.png
203;YALE STAM CONT.200 CIL.PALHETA - B;CILINDRO STAM MODELO ANTIGOS DE PALHETA;;2025/06/STAM 203.png
208;YALE STAM 208 FECHADURA - B;Chave de cilindro Stam, modelo antigo.;;2025/06/STAM 208.png
227;YALE AROUCA NOVA 227 - A ;para fecadura arouca caixa 40 ;;2025/06/AROUCA 227.jpg
348;YALE AMELCO FECH. 348 - C;cilindro fechara eletrica amelco;;2025/06/AMELCO 348.jpg
428;YALE PAPAIZ D-428 FECH CAD 45-70 - A ;chave para cilindros 3f fabricaCão mais antiga ;;2025/06/PAPAIZ D428.png
445;YALE SOPRANO FECHADURA - A ;Chave que funciona na fechadura de sobrepor Soprano, bem como na fechadura de caixa 40;;2025/06/SOPRANO 445.png
543;YALE STAM D-543 FECHADURA L.Y. - A ;cilindro stam antigo;;2025/06/STAM D543.png
605;YALE STAM D-605 ART. MOV.GAVETA - A ;Chave para cadeado Stam, compatível com tamanhos de 30mm a 35mm.;;2025/06/STAM D605.png
672;YALE FRANZMAR D-672 - B;fechadura de vidro franmar antiga;;2025/06/FRANZMAR D672.jpg
693;YALE PADO CAD.25/30 SIMILAR 44 - A ;usada para cadeado pado tamanho 30/35mm ;;
721;YALE IMAB D-721 FECH CURTA - B;CILINDRO IMAB/FECHADURA IMAB CX 40;;2025/06/IMAB D721.jpg
772;YALE SOPRANO D-772 ARTIGO - C;ARTIGO MOVEIS SOPRANO ANTIGO FRISO FINO;;2025/06/SOPRANO D772.png
799;YALE STAM D-799 FECH.SOBREP - A ;para fechadura sobrepor stam Yale ;;2025/06/STAM D799.png
850;YALE HDL 850 FECHADURA - B;FECHADURA HDL ELETRONICA;;2025/06/HDL 850.jpg
851;YALE 3F NOVA - A ;chave para cilindros novos de pino stam 38801 C/ frisco;;2025/06/3F 851.png
943;YALE STAM D-943 FECH. LY S/REBAIXO - A ;chave para cilindros novos de pino stam 38801 s/ fricso ;;2025/06/STAM 943.png
944;YALE STAM 944 FECH. L.Y REBAIXO - A ;chave para fechadura 725 e cadeados 40mm a 70mm ;;2025/06/STAM 944.png
986;CHAVE PLASTICA HONDA BIZ / POP 986 - A;chave da moto honda biz;;2025/06/HONDA 986.png
1032;YALE PILLER NOVA - B ;Chave da marca Piller, compatível com cadeados de tamanhos 40mm, 45mm e 50mm.;;2025/06/PILLER 1032.png
1071;YALE AGL D-1071 FECH ELETRICA - A ;cilcdro fech eletrica agl;;2025/06/AGL D1071.jpg
1086;YALE STAM FECHADURA NOVA - C ;CILINDRO TRAVA DE SEGURANCA STAM 1006/1007/1008;;2025/06/STAM D1086.png
1104;YALE SOPRANO FECHADURA SOBREPOR - B;FECHAFDURA SOPRANO SOBREPOR / FECHADURA DOVALE SOBREPOR ;;2025/06/SOPRANO D1104.png
1115;YALE SOPRANO CURTA D-1115 - C;FECHADURA PORTA DE VIDRO SOPRANO;;2025/06/SOPRANO D1115.png
1127;YALE 3F FECHADURA D1127 - A ;para fechadura externa da 3f e cilindros 3f universal ;;2025/06/3F D1127.png
1181;YALE ALIANCA NOVA - B;CINDRO ALIANCA MODELO NOVO/ FECHADURA CX 40 NOVA;;2025/06/ALIANCA D1181.jpg
1184;CHAVE TETRA STAM DOVALE N.4  C/ DENTE NOVA 1001 FU - A;TRAVA DE SEGURANCA STAM 1001;;2025/06/STAM 1184.png
1195;CHAVE TETRA STAM DOVALE N.5 C/ DENTE 1400/1500/1701 - A;fechadura tetra sobrepor stam / cilindro tetra grande stam ;;2025/06/STAM 1195.png
2160;CHAVE PLASTICA HONDA  CG TITAN 160 - A;moto titan 160;;2025/06/HONDA 2160.png
